id,topic,link,synopsis,category,source_type,added_date,last_verified,status,first_flagged,repeat_count,notes
tip-001,Access Launch Videos and Handouts,https://educationazcanv.screencasthost.com/watch/cTnYFenhKct,"If you are newer or need a refresher then these are the videos for you. In these 8 videos we highlight many of the skills you need to build a successful business. This includes creating your business plan, preparing for a listing, working with buyers, sellers and more.",Training,video,,,active,,0,
tip-002,"Add Real Scout's ""What's My Home Worth"" to your website",https://educationazcanv.screencasthost.com/watch/cOj3cAnv8WZ,Do you want to add a link to the home page of your Agent Websites for client to check the value of their home and require they provide an email address? Then this is the tool for you.,Websites & Tools,video,,,active,,0,
tip-003,Are you in the know?,https://educationazcanv.screencasthost.com/watch/cOVDbpnr7IG,"Want to get updates from Troy, maybe marketing or learning about upcoming classes. Then be sure to check-out the weekly Keepin It Real email. For more info checkout this video",Training & Comms,video,,,active,,0,
tip-004,Are you using Breeze so your client call fill-out dislcosures online?,http://educationazcanv.screencasthost.com/watch/cTjUDun2SwS,"Would you like to send Seller Disclosures Document, HOA Addendums or maybe the Lead Based Paint Addendum to your clients to be completed online?",Compliance & Tools,video,,,active,,0,
tip-005,BHHS Natl Tech Tip Auto Post your Listing using ACE Social Media,https://ace.rismedia.com/2023/10/12/video-how-to-setup-automatic-listing-posting-for-bhhs-associates/,Looking to save time to share your listing on Social Media checkout this feature in ACE Social Media,Marketing & Tools,article,,,active,,0,
tip-006,Create an Open House Flyer in Design Studio,https://educationazcanv.screencasthost.com/watch/cTnI03nhulc,Maxa Design Studio has amazing flyers you can use for your open house. You can create one from scratch for your coming soon listing or use date from your active listing. These are professionally designed flyers.,Marketing & Design,video,,,active,,0,
tip-007,Create your Email Signature using Maxa Design and update your Gmail signature,https://educationazcanv.screencasthost.com/watch/cT1lbLnXYbE,Are you looking for options to create a professional signature for your email. In less than 10 minutes you can design your new signature and add it to your gmail account.,Marketing & Design,video,,,active,,0,
tip-008,Create a Google Appointment Calendar,https://educationazcanv.screencasthost.com/watch/c0l6q5VmGK1,Would you like to creating a shareable appointment calendar on your Gmail account. It's pretty easy and you can share your link in your email signature and more.,Productivity & Tools,video,,,active,,0,
tip-009,Emailing a Luxury listing to other Luxury Agents,https://educationazcanv.screencasthost.com/watch/cOfZ2NnOAYN,"Do you have a luxury listing that you would like to promote to other luxury agents?  If yes, check-out this Tech Tip.",Marketing,video,,,active,,0,
tip-010,Share with your Sellers how you market their homes Internationally,https://educationazcanv.screencasthost.com/watch/cTie2PnlFja,Have you shared with your seller that you are marketing it internationally? This is a great item to share after the listing has been on the market for 10 - 14 days'',Marketing,video,,,active,,0,
tip-011,Updating Your Featured Communities on Your Showcase Page,https://educationazcanv.screencasthost.com/watch/cZQh3xVRaa9,Did you know you can update the communities on your BHHS Agent Showcase page? They have 100's of communities you can add. We don't guarantee they will have all of them but you would be surprised how many there are. Check it out and make you are promoting your 4 favorite on your showcase page.,Websites & Tools,video,,,active,,0,
tip-012,Who do I contact?,https://educationazcanv.screencasthost.com/watch/cOnI39n0bY9,"Need help with your email, passwords for email, VAC or RESource Centers, marketing help then this is the video for you",Support,video,,,active,,0,
tip-013,Uploading Buyer Consulation Docs to Skyslope,https://educationazcanv.screencasthost.com/watch/cO1hbAnuoKs,In order to be in compliance with the company and dept of real estate you need to upload your Buyer agreements to Skyslope within a timely manner. Check-out this video to see how easy it is.,Compliance,video,,,active,,0,
tip-014,illow Showcase Instructions,https://cdn.datafloat.com/AAZ_CWS/CKEDITOR/1997018c-7b6a-43bc-b885-9657552d72ff.pdf,Need to order a showcase listing. Checkout these instructions before you start the process and before your schedule you photographer.,Marketing & Photography,pdf,,,active,,0,"Verbatim from source sheet; topic name looks truncated/typo'd (possibly ""Willow Showcase"") - loop should verify the correct vendor/product name."
